Size,Eval per Kernel,Repeat,Out of order,Dummy Time (ns),Compute Time (ns),Native Compute Time (ns)
512,2,1024,1,462.1671733856201,478.4211597442627,507.48005867004395
512,4,256,0,467.95227813720703,481.45274353027344,486.57484436035156
512,4,256,1,466.98743438720703,473.76892852783203,474.0422134399414
512,4,512,0,456.52210998535156,477.061824798584,480.03420639038086
512,4,512,1,466.6597023010254,477.0162162780762,479.70572662353516
512,4,1024,0,457.2900981903076,479.294002532959,510.34207344055176
512,4,1024,1,486.58797454833984,480.22300910949707,484.460054397583
512,8,256,0,460.1203079223633,472.1320114135742,477.0931396484375
512,8,256,1,464.67720794677734,479.0124053955078,482.31201171875
512,8,512,0,463.9241485595703,520.6684532165527,494.640323638916
512,8,512,1,461.07663345336914,471.1910629272461,471.71539306640625
512,8,1024,0,462.7433967590332,486.4502983093262,488.5628089904785
512,8,1024,1,468.7475109100342,484.66409492492676,507.5331325531006
1024,1,128,0,233.95779418945312,238.0215072631836,238.59608459472656
1024,1,128,1,237.12571716308594,239.37686157226562,236.7184600830078
1024,1,256,0,229.46428680419922,236.8216209411621,237.78226470947266
1024,1,256,1,236.85907363891602,238.17313766479492,237.04561614990234
1024,1,512,0,234.7304286956787,241.29561042785645,242.70122146606445
1024,1,512,1,233.13161087036133,237.4601593017578,239.75641059875488
1024,2,128,0,239.66134643554688,246.79271697998047,249.5995330810547
1024,2,128,1,232.29181671142578,237.27521514892578,238.56529235839844
1024,2,256,0,242.4811668395996,241.6435203552246,242.2361946105957
1024,2,256,1,239.0855484008789,238.76988220214844,238.41399765014648
1024,2,512,0,229.38518714904785,239.74640083312988,252.76353073120117
1024,2,512,1,236.97990226745605,238.58155059814453,239.60186767578125
1024,4,128,0,231.21206665039062,237.07640075683594,238.77151489257812
1024,4,128,1,232.62571716308594,249.3352813720703,252.6532211303711
1024,4,256,0,234.00283813476562,242.67925643920898,245.0352325439453
1024,4,256,1,237.5976905822754,239.14247131347656,238.71403884887695
1024,4,512,0,244.81790161132812,249.7215576171875,240.7863540649414
1024,4,512,1,231.37422561645508,239.82061576843262,239.54114151000977
